Problem:    part
Rows:       418
Columns:    135 (135 integer, 120 binary)
Non-zeros:  789
Status:     INTEGER OPTIMAL
Objective:  ingresos = 21690 (MAXimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 ingresos                21690                             
     2 max_billetes[AV1]
                                  90                          90 
     3 max_billetes[AV2]
                                 120                         120 
     4 max_billetes[AV3]
                                 200                         200 
     5 max_billetes[AV4]
                                 150                         150 
     6 max_billetes[AV5]
                                 190                         190 
     7 max_peso[AV1]
                                1698                        1700 
     8 max_peso[AV2]
                                2700                        2700 
     9 max_peso[AV3]
                                1300                        1300 
    10 max_peso[AV4]
                                1699                        1700 
    11 max_peso[AV5]
                                1993                        2000 
    12 min_billetesTotal[estandar,AV1]
                                  18            -0               
    13 min_billetesTotal[estandar,AV2]
                                  40            -0               
    14 min_billetesTotal[estandar,AV3]
                                 160            -0               
    15 min_billetesTotal[estandar,AV4]
                                  99            -0               
    16 min_billetesTotal[estandar,AV5]
                                 133            -0               
    17 min_billetesTotal[leisure,AV1]
                                  60            20               
    18 min_billetesTotal[leisure,AV2]
                                  27            20               
    19 min_billetesTotal[leisure,AV3]
                                  23            20               
    20 min_billetesTotal[leisure,AV4]
                                  22            20               
    21 min_billetesTotal[leisure,AV5]
                                  21            20               
    22 min_billetesTotal[business,AV1]
                                  12            10               
    23 min_billetesTotal[business,AV2]
                                  53            10               
    24 min_billetesTotal[business,AV3]
                                  17            10               
    25 min_billetesTotal[business,AV4]
                                  29            10               
    26 min_billetesTotal[business,AV5]
                                  36            10               
    27 min_billetesPercent[estandar]
                                   0            -0               
    28 min_billetesPercent[leisure]
                                 153            -0               
    29 min_billetesPercent[business]
                                 147            -0               
    30 un_slot[AV1]                1             1             = 
    31 un_slot[AV2]                1             1             = 
    32 un_slot[AV3]                1             1             = 
    33 un_slot[AV4]                1             1             = 
    34 un_slot[AV5]                1             1             = 
    35 slot_por_avion[P1,S1]
                                   0                           1 
    36 slot_por_avion[P1,S2]
                                   0                           1 
    37 slot_por_avion[P1,S3]
                                   0                           1 
    38 slot_por_avion[P1,S4]
                                   0                           1 
    39 slot_por_avion[P1,S5]
                                   1                           1 
    40 slot_por_avion[P1,S6]
                                   0                           1 
    41 slot_por_avion[P2,S1]
                                   0                           1 
    42 slot_por_avion[P2,S2]
                                   0                           1 
    43 slot_por_avion[P2,S3]
                                   0                           1 
    44 slot_por_avion[P2,S4]
                                   1                           1 
    45 slot_por_avion[P2,S5]
                                   0                           1 
    46 slot_por_avion[P2,S6]
                                   0                           1 
    47 slot_por_avion[P3,S1]
                                   0                           1 
    48 slot_por_avion[P3,S2]
